City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,margate,51.3813,1.3862,8.16,77,15,1.34,GB,1675783636
138,fortuna,40.5982,-124.1573,5.52,97,0,1.34,US,1675783636
139,torbay,47.6666,-52.7314,-4.68,84,100,10.73,CA,1675783637
140,pangody,65.85,74.4859,-26.02,100,100,2.65,RU,1675783638
141,labuhan,-6.8844,112.2051,25.13,90,100,3.36,ID,1675783638
142,puerto lempira,15.2667,-83.7667,28.08,74,75,5.14,HN,1675783639
143,caraballeda,10.6112,-66.8522,29.37,77,40,2.06,VE,1675783640
144,fuzhou,26.0614,119.3061,13.7,92,100,1.44,CN,1675783391
145,bure,10.7,37.0667,24.76,21,52,2.74,ET,1675783641
146,beyneu,45.3167,55.2,2.18,77,100,12.63,KZ,1675783641
147,tiksi,71.6872,128.8694,-32.24,99,100,1.6,RU,1675783642
148,ostrovnoy,68.0531,39.5131,1.41,94,100,13.3,RU,1675783642
149,bereznik,62.8551,42.7072,-5.85,90,100,4.1,RU,1675783643
150,porto nacional,-10.7081,-48.4172,30.0,60,76,1.89,BR,1675783643
151,westport,41.1415,-73.3579,3.02,45,0,5.14,US,1675783358
152,tateyama,34.9833,139.8667,11.17,84,100,6.14,JP,1675783644
153,iqaluit,63.7506,-68.5145,-36.36,90,12,2.22,CA,1675783644
154,novorzhev,57.0294,29.3338,-2.5,90,100,2.21,RU,1675783645
155,regeneracao,-6.2378,-42.6883,32.91,47,98,2.04,BR,1675783646
156,bathsheba,13.2167,-59.5167,28.34,65,75,8.75,BB,1675783646
157,san patricio,28.017,-97.5169,22.97,84,100,7.44,US,1675783647
158,lorengau,-2.0226,147.2712,26.36,87,100,5.58,PG,1675783647
159,udachnyy,66.4167,112.4,-36.42,66,95,1.2,RU,1675783648
160,kavaratti,10.5669,72.642,27.15,70,97,5.44,IN,1675783649
161,saskylakh,71.9167,114.0833,-35.6,100,100,1.02,RU,1675783649
162,misheronskiy,55.7193,39.7383,-13.31,98,71,0.46,RU,1675783650
163,kipushi,-11.7667,27.2333,20.82,84,74,4.26,CD,1675783650
164,svetlyy,54.675,20.1347,3.03,91,80,2.38,RU,1675783650
165,gamba,-2.65,10.0,28.17,67,30,4.48,GA,1675783651
166,caravelas,-17.7125,-39.2481,31.25,51,57,5.49,BR,1675783651
167,khorol,49.7837,33.2783,-5.56,81,20,5.83,UA,1675783652
168,mozarlandia,-14.7447,-50.5706,29.49,65,86,2.28,BR,1675783652
169,impfondo,1.6381,18.0667,35.52,21,87,0.68,CG,1675783653
170,sinnamary,5.3833,-52.95,26.68,83,72,4.97,GF,1675783653
